observation_time,observation,upstream_receipt,observation_retrieval,available_at,observation_source,quality_status,qc_field,raw_report,observation_file,observation_sha256
2026-08-19 20:51:00+00:00,27.2,2026-08-19 20:54:08.585000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 192051Z 19011KT 10SM FEW065 FEW090 BKN250 27/18 A2988 RMK AO2 SLP119 T02720183 55002 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 21:51:00+00:00,27.2,2026-08-19 21:54:08.177000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 192151Z 21012KT 10SM FEW065 FEW180 BKN250 27/18 A2989 RMK AO2 SLP123 T02720178 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 22:51:00+00:00,26.7,2026-08-19 22:54:09.896000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 192251Z 21013KT 10SM FEW065 BKN250 27/17 A2990 RMK AO2 SLP123 T02670172 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 23:51:00+00:00,25.6,2026-08-19 23:54:08.985000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 192351Z 20011KT 10SM FEW065 BKN250 26/20 A2990 RMK AO2 SLP124 T02560200 51005 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 00:51:00+00:00,25.0,2026-08-20 00:55:38.190000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200051Z 20008KT 10SM FEW065 SCT250 25/21 A2991 RMK AO2 SLP129 T02500206 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 01:51:00+00:00,24.4,2026-08-20 01:54:07.545000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200151Z 20006KT 10SM SCT210 BKN250 24/22 A2992 RMK AO2 SLP131 T02440217 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 02:51:00+00:00,23.9,2026-08-20 02:57:11.314000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200251Z 19004KT 10SM BKN250 24/22 A2991 RMK AO2 SLP130 T02390222 50005 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 03:51:00+00:00,23.9,2026-08-20 03:54:07.068000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200351Z 22006KT 10SM FEW200 BKN250 24/21 A2992 RMK AO2 SLP133 T02390211 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 04:51:00+00:00,23.3,2026-08-20 04:54:08.621000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200451Z 23006KT 10SM BKN250 23/21 A2993 RMK AO2 SLP135 T02330206 403000211 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 05:51:00+00:00,23.9,2026-08-20 05:54:10.790000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200551Z 24007KT 10SM SCT250 24/20 A2994 RMK AO2 SLP137 T02390200 10256 20233 51007 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 06:51:00+00:00,23.3,2026-08-20 06:54:15.578000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200651Z 26005KT 10SM BKN250 23/19 A2994 RMK AO2 SLP137 T02330194 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 07:51:00+00:00,23.3,2026-08-20 07:54:10.741000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200751Z 00000KT 10SM FEW180 BKN250 23/19 A2995 RMK AO2 SLP142 T02330189 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 08:51:00+00:00,22.8,2026-08-20 08:54:08.914000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200851Z 25005KT 10SM BKN250 23/19 A2995 RMK AO2 SLP142 T02280194 52005 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 09:51:00+00:00,22.8,2026-08-20 09:54:08.829000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 200951Z 30004KT 10SM FEW200 BKN250 23/19 A2995 RMK AO2 SLP142 T02280189 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 10:51:00+00:00,22.8,2026-08-20 10:54:11.924000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 201051Z 33003KT 10SM FEW160 SCT250 23/18 A2997 RMK AO2 SLP150 T02280183 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 11:51:00+00:00,25.6,2026-08-20 11:54:08.857000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 201151Z 02003KT 10SM SCT140 SCT250 26/19 A2999 RMK AO2 SLP153 T02560189 10256 20222 53011 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 12:51:00+00:00,26.7,2026-08-20 12:54:06.364000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 201251Z 00000KT 10SM FEW100 FEW140 SCT250 27/18 A2998 RMK AO2 SLP151 T02670178,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 13:51:00+00:00,27.2,2026-08-20 14:01:39.517000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 201351Z VRB03KT 10SM FEW085 FEW140 SCT250 27/18 A2998 RMK AO2 SLP153 T02720178,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-20 14:51:00+00:00,28.3,2026-08-20 14:54:07.766000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 201451Z 20008KT 10SM FEW045 SCT140 BKN250 28/19 A3000 RMK AO2 SLP159 T02830194 53006,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
