method,prediction_year,historical_year,weight,temperature_shift_c,monthly_hdd_f_days,payout_usd
temperature_trend,2021,2012,0.047619047619047616,0.9347821533305394,159.24262672811068,0.0
temperature_trend,2021,2013,0.047619047619047616,0.8309174696271461,160.83131964809385,0.0
temperature_trend,2021,2014,0.047619047619047616,0.7270527859237528,151.26870967741937,0.0
temperature_trend,2021,2015,0.047619047619047616,0.6231881022203596,197.93479681608719,0.0
temperature_trend,2021,2016,0.047619047619047616,0.5193234185169663,183.845228320067,0.0
temperature_trend,2021,2017,0.047619047619047616,0.41545873481357304,104.32348554671138,0.0
temperature_trend,2021,2018,0.047619047619047616,0.3115940511101798,259.6226141600335,2481.2614160033545
temperature_trend,2021,2019,0.047619047619047616,0.20772936740678652,182.91043988269791,0.0
temperature_trend,2021,2020,0.047619047619047616,0.10386468370339326,212.17521994134898,0.0
trend_half_shift,2021,2000,0.047619047619047616,1.0905791788856292,222.9378519061584,0.0
trend_half_shift,2021,2001,0.047619047619047616,1.0386468370339326,210.73045664013415,0.0
trend_half_shift,2021,2002,0.047619047619047616,0.986714495182236,280.10784771679937,4529.784771679942
trend_half_shift,2021,2003,0.047619047619047616,0.9347821533305394,254.62958734813577,1981.9587348135826
trend_half_shift,2021,2004,0.047619047619047616,0.8828498114788427,214.13436950146627,0.0
trend_half_shift,2021,2005,0.047619047619047616,0.8309174696271461,212.59001675743616,0.0
trend_half_shift,2021,2006,0.047619047619047616,0.7789851277754495,246.45914956011734,1164.9149560117394
trend_half_shift,2021,2007,0.047619047619047616,0.7270527859237528,105.22218475073313,0.0
trend_half_shift,2021,2008,0.047619047619047616,0.6751204440720562,251.1995800167574,1638.9580016757463
trend_half_shift,2021,2009,0.047619047619047616,0.6231881022203596,259.9447968160872,2513.479681608726
trend_half_shift,2021,2010,0.047619047619047616,0.5712557603686629,176.6052304147466,0.0
trend_half_shift,2021,2011,0.047619047619047616,0.5193234185169663,210.87044616673649,0.0
trend_half_shift,2021,2012,0.047619047619047616,0.4673910766652697,178.52870548806038,0.0
trend_half_shift,2021,2013,0.047619047619047616,0.41545873481357304,176.53565982404695,0.0
trend_half_shift,2021,2014,0.047619047619047616,0.3635263929618764,165.66435483870964,0.0
trend_half_shift,2021,2015,0.047619047619047616,0.3115940511101798,213.40565982404698,0.0
trend_half_shift,2021,2016,0.047619047619047616,0.25966170925848314,195.10522308336823,0.0
trend_half_shift,2021,2017,0.047619047619047616,0.20772936740678652,111.80174277335567,0.0
trend_half_shift,2021,2018,0.047619047619047616,0.1557970255550899,265.2313070800167,3042.130708001673
trend_half_shift,2021,2019,0.047619047619047616,0.10386468370339326,188.14521994134896,0.0
trend_half_shift,2021,2020,0.047619047619047616,0.05193234185169663,214.7926099706745,0.0
trend_recent_20,2021,2001,0.05,2.087824399708949,170.66640552995395,0.0
trend_recent_20,2021,2002,0.05,1.9834331797235014,235.43586635944706,62.58663594471159
trend_recent_20,2021,2003,0.05,1.8790419597380539,210.14766286684457,0.0
trend_recent_20,2021,2004,0.05,1.7746507397526066,170.686345379578,0.0
trend_recent_20,2021,2005,0.05,1.670259519767159,177.97419015280136,0.0
trend_recent_20,2021,2006,0.05,1.5658682997817115,211.17448944942998,0.0
trend_recent_20,2021,2007,0.05,1.4614770797962642,84.16077758913414,0.0
trend_recent_20,2021,2008,0.05,1.3570858598108166,221.0038908561728,0.0
trend_recent_20,2021,2009,0.05,1.2526946398253693,230.4838908561727,0.0
trend_recent_20,2021,2010,0.05,1.1483034198399218,150.31023841862722,0.0
trend_recent_20,2021,2011,0.05,1.0439121998544745,188.18299296628666,0.0
trend_recent_20,2021,2012,0.05,0.9395209798690269,159.05496919718655,0.0
trend_recent_20,2021,2013,0.05,0.8351297598835795,160.67209507640064,0.0
trend_recent_20,2021,2014,0.05,0.7307385398981321,151.12275382003395,0.0
trend_recent_20,2021,2015,0.05,0.6263473199126847,197.78694542808637,0.0
trend_recent_20,2021,2016,0.05,0.5219560999272372,183.73149648314333,0.0
trend_recent_20,2021,2017,0.05,0.41756487994178976,104.24766432209556,0.0
trend_recent_20,2021,2018,0.05,0.31317365995634233,259.5657482415716,2475.5748241571664
trend_recent_20,2021,2019,0.05,0.20878243997089488,182.8573650254669,0.0
trend_recent_20,2021,2020,0.05,0.10439121998544744,212.14868251273342,0.0
expanding,2022,2000,0.045454545454545456,0.0,276.99,4503.000000000003
expanding,2022,2001,0.045454545454545456,0.0,257.09999999999997,2513.9999999999986
expanding,2022,2002,0.045454545454545456,0.0,324.51000000000005,9255.000000000007
expanding,2022,2003,0.045454545454545456,0.0,303.57,7161.000000000002
expanding,2022,2004,0.045454545454545456,0.0,260.64,2868.000000000001
expanding,2022,2005,0.045454545454545456,0.0,248.52000000000004,1656.000000000006
expanding,2022,2006,0.045454545454545456,0.0,285.72,5376.000000000005
expanding,2022,2007,0.045454545454545456,0.0,129.57,0.0
expanding,2022,2008,0.045454545454545456,0.0,281.58,4962.0
expanding,2022,2009,0.045454545454545456,0.0,290.28000000000003,5832.0000000000055
expanding,2022,2010,0.045454545454545456,0.0,203.88,0.0
expanding,2022,2011,0.045454545454545456,0.0,234.80999999999995,284.9999999999966
expanding,2022,2012,0.045454545454545456,0.0,199.29000000000002,0.0
expanding,2022,2013,0.045454545454545456,0.0,192.65999999999997,0.0
expanding,2022,2014,0.045454545454545456,0.0,181.58999999999997,0.0
expanding,2022,2015,0.045454545454545456,0.0,229.11,0.0
expanding,2022,2016,0.045454545454545456,0.0,206.78999999999996,0.0
expanding,2022,2017,0.045454545454545456,0.0,119.28000000000002,0.0
expanding,2022,2018,0.045454545454545456,0.0,270.84,3887.9999999999995
expanding,2022,2019,0.045454545454545456,0.0,193.38,0.0
expanding,2022,2020,0.045454545454545456,0.0,217.41000000000003,0.0
expanding,2022,2021,0.045454545454545456,0.0,94.08,0.0
recent_10,2022,2012,0.1,0.0,199.29000000000002,0.0
recent_10,2022,2013,0.1,0.0,192.65999999999997,0.0
recent_10,2022,2014,0.1,0.0,181.58999999999997,0.0
recent_10,2022,2015,0.1,0.0,229.11,0.0
recent_10,2022,2016,0.1,0.0,206.78999999999996,0.0
recent_10,2022,2017,0.1,0.0,119.28000000000002,0.0
recent_10,2022,2018,0.1,0.0,270.84,3887.9999999999995
recent_10,2022,2019,0.1,0.0,193.38,0.0
recent_10,2022,2020,0.1,0.0,217.41000000000003,0.0
recent_10,2022,2021,0.1,0.0,94.08,0.0
recent_20,2022,2002,0.05,0.0,324.51000000000005,9255.000000000007
recent_20,2022,2003,0.05,0.0,303.57,7161.000000000002
recent_20,2022,2004,0.05,0.0,260.64,2868.000000000001
recent_20,2022,2005,0.05,0.0,248.52000000000004,1656.000000000006
recent_20,2022,2006,0.05,0.0,285.72,5376.000000000005
recent_20,2022,2007,0.05,0.0,129.57,0.0
recent_20,2022,2008,0.05,0.0,281.58,4962.0
recent_20,2022,2009,0.05,0.0,290.28000000000003,5832.0000000000055
recent_20,2022,2010,0.05,0.0,203.88,0.0
recent_20,2022,2011,0.05,0.0,234.80999999999995,284.9999999999966
recent_20,2022,2012,0.05,0.0,199.29000000000002,0.0
recent_20,2022,2013,0.05,0.0,192.65999999999997,0.0
recent_20,2022,2014,0.05,0.0,181.58999999999997,0.0
recent_20,2022,2015,0.05,0.0,229.11,0.0
recent_20,2022,2016,0.05,0.0,206.78999999999996,0.0
recent_20,2022,2017,0.05,0.0,119.28000000000002,0.0
recent_20,2022,2018,0.05,0.0,270.84,3887.9999999999995
recent_20,2022,2019,0.05,0.0,193.38,0.0
recent_20,2022,2020,0.05,0.0,217.41000000000003,0.0
recent_20,2022,2021,0.05,0.0,94.08,0.0
temperature_trend,2022,2000,0.045454545454545456,2.7025646163093566,150.67382488479265,0.0
temperature_trend,2022,2001,0.045454545454545456,2.579720770113477,154.5570470483233,0.0
temperature_trend,2022,2002,0.045454545454545456,2.456876923917597,215.8352953498114,0.0
temperature_trend,2022,2003,0.045454545454545456,2.334033077721717,191.31103058232094,0.0
temperature_trend,2022,2004,0.045454545454545456,2.2111892315258372,150.80662519808385,0.0
temperature_trend,2022,2005,0.045454545454545456,2.0883453853299576,162.17054443452764,0.0
temperature_trend,2022,2006,0.045454545454545456,1.9655015391340775,193.96823627984912,0.0
temperature_trend,2022,2007,0.045454545454545456,1.8426576929381977,74.84180998524616,0.0
temperature_trend,2022,2008,0.045454545454545456,1.7198138467423179,205.39970674486804,0.0
temperature_trend,2022,2009,0.045454545454545456,1.596970000546438,214.37180397442665,0.0
temperature_trend,2022,2010,0.045454545454545456,1.4741261543505582,136.9846042877179,0.0
temperature_trend,2022,2011,0.045454545454545456,1.3512823081546783,175.2969124423963,0.0
temperature_trend,2022,2012,0.045454545454545456,1.2284384619587985,147.95621536948323,0.0
temperature_trend,2022,2013,0.045454545454545456,1.1055946157629186,150.4485235241617,0.0
temperature_trend,2022,2014,0.045454545454545456,0.9827507695670388,141.14306952514522,0.0
temperature_trend,2022,2015,0.045454545454545456,0.8599069233711589,186.85635598622972,0.0
temperature_trend,2022,2016,0.045454545454545456,0.7370630771752791,174.43887506602795,0.0
temperature_trend,2022,2017,0.045454545454545456,0.6142192309793992,97.31370230050453,0.0
temperature_trend,2022,2018,0.045454545454545456,0.4913753847835194,253.15048614779317,2119.0486147793195
temperature_trend,2022,2019,0.045454545454545456,0.36853153858763954,174.95936722464072,0.0
temperature_trend,2022,2020,0.045454545454545456,0.2456876923917597,205.0273403034553,0.0
