method,prediction_year,n_training_years,predicted_mean,realized_hdd,error,p10,p90,crps,interval_coverage,interval_width,strike,predicted_average_payout_usd,realized_payout_usd,payout_error_usd,positive_payout_frequency
trend_half_shift,2017,17,217.40887989730993,119.28000000000002,98.12887989730991,179.68617979127131,263.84057163187845,76.66291183528881,0.0,84.15439184060713,248.52000000000004,497.1653225806417,0.0,497.1653225806417,0.29411764705882354
expanding,2018,18,234.77166666666665,270.84,-36.06833333333333,165.98399999999998,294.26700000000005,20.0162037037037,1.0,128.28300000000007,241.665,1966.250000000001,2917.499999999998,-951.2499999999973,0.5
recent_10,2018,10,213.927,270.84,-56.91299999999998,175.35899999999998,282.45,37.528499999999994,1.0,107.09100000000001,241.665,885.3000000000004,2917.499999999998,-2032.1999999999978,0.2
temperature_trend,2018,18,172.02147408369126,270.84,-98.81852591630872,137.96054399280936,215.99815020473395,78.78813649662838,0.0,78.03760621192458,241.665,0.0,2917.499999999998,-2917.499999999998,0.0
trend_half_shift,2018,18,201.92259213023073,270.84,-68.91740786976925,152.71944352341956,250.80752591630878,45.15184047774925,0.0,98.08808239288922,241.665,305.30972236093135,2917.499999999998,-2612.190277639067,0.2222222222222222
expanding,2019,19,236.67,193.38,43.28999999999999,171.18599999999998,292.938,28.433102493074795,1.0,121.75200000000001,248.52000000000004,1655.5263157894717,0.0,1655.5263157894717,0.47368421052631576
recent_10,2019,10,212.85299999999998,193.38,19.472999999999985,175.35899999999998,272.784,12.126300000000004,1.0,97.42500000000001,248.52000000000004,640.7999999999993,0.0,640.7999999999993,0.2
temperature_trend,2019,19,180.73339022428738,193.38,-12.64660977571262,142.80528896434635,229.21157419354842,11.626617055998942,1.0,86.40628522920207,248.52000000000004,93.62487713341052,0.0,93.62487713341052,0.05263157894736842
trend_half_shift,2019,19,207.59312822804037,193.38,14.213128228040375,157.02894397283532,261.44025127334464,14.065271312944141,1.0,104.41130730050932,248.52000000000004,334.4528996515051,0.0,334.4528996515051,0.2631578947368421
expanding,2020,20,234.50549999999998,217.41000000000003,17.09549999999996,176.38799999999998,291.60900000000004,17.87287499999999,1.0,115.22100000000006,241.665,1915.5000000000007,0.0,1915.5000000000007,0.5
recent_10,2020,10,203.16299999999995,217.41000000000003,-14.247000000000071,175.35899999999998,238.41299999999993,11.116500000000016,1.0,63.053999999999945,241.665,291.74999999999983,0.0,291.74999999999983,0.1
recent_20,2020,20,234.50549999999998,217.41000000000003,17.09549999999996,176.38799999999998,291.60900000000004,17.87287499999999,1.0,115.22100000000006,241.665,1915.5000000000007,0.0,1915.5000000000007,0.5
temperature_trend,2020,20,178.90686544991527,217.41000000000003,-38.50313455008475,144.16400679117154,227.6643137521224,22.855279342105213,1.0,83.50030696095087,241.665,102.8430814940576,0.0,102.8430814940576,0.05
trend_half_shift,2020,20,205.60251761460108,217.41000000000003,-11.807482385398941,160.55604142614607,259.1616412563668,11.007233665110359,1.0,98.60559983022074,241.665,472.6798344651978,0.0,472.6798344651978,0.3
trend_recent_20,2020,20,178.90686544991527,217.41000000000003,-38.50313455008475,144.16400679117154,227.6643137521224,22.855279342105213,1.0,83.50030696095087,241.665,102.8430814940576,0.0,102.8430814940576,0.05
expanding,2021,21,233.69142857142856,94.08,139.61142857142858,181.58999999999997,290.28000000000003,109.7469387755102,0.0,108.69000000000005,234.80999999999995,2150.7142857142885,0.0,2150.7142857142885,0.47619047619047616
recent_10,2021,10,204.51600000000002,94.08,110.43600000000002,175.35899999999998,238.41299999999993,90.45179999999999,0.0,63.053999999999945,234.80999999999995,360.3000000000003,0.0,360.3000000000003,0.1
recent_20,2021,20,231.5265,94.08,137.44650000000001,176.38799999999998,291.60900000000004,107.29762500000001,0.0,115.22100000000006,234.80999999999995,2047.3500000000026,0.0,2047.3500000000026,0.45
temperature_trend,2021,21,182.77261056915444,94.08,88.69261056915444,150.55002304147473,230.77959363217434,67.32582902285343,0.0,80.22957059069961,234.80999999999995,123.10787599497367,0.0,123.10787599497367,0.09523809523809523
trend_half_shift,2021,21,207.36390478185407,94.08,113.28390478185408,165.66435483870964,259.9447968160872,88.67883547218636,0.0,94.28044197737756,234.80999999999995,708.1536597043529,0.0,708.1536597043529,0.2857142857142857
